"Variable","Level","BMI_cat","Count","Percent","p.value_rounded","p_adj_rounded"
"Time_zero_Ym","2003-10-01","Overweight",13,"0.0%",NA,NA
"Time_zero_Ym","2003-11-01","Overweight",12,"0.0%",NA,NA
"Time_zero_Ym","2003-12-01","Overweight",6,"0.0%",NA,NA
"Time_zero_Ym","2004-01-01","Overweight",11,"0.0%",NA,NA
"Time_zero_Ym","2004-02-01","Overweight",6,"0.0%",NA,NA
"Time_zero_Ym","2004-03-01","Overweight",4,"0.0%",NA,NA
"Time_zero_Ym","2004-04-01","Overweight",11,"0.0%",NA,NA
"Time_zero_Ym","2004-05-01","Overweight",6,"0.0%",NA,NA
"Time_zero_Ym","2004-06-01","Overweight",2,"0.0%",NA,NA
"Time_zero_Ym","2004-07-01","Overweight",2,"0.0%",NA,NA
"Time_zero_Ym","2004-08-01","Overweight",3,"0.0%",NA,NA
"Time_zero_Ym","2004-09-01","Overweight",2,"0.0%",NA,NA
"Time_zero_Ym","2004-10-01","Overweight",1,"0.0%",NA,NA
"Time_zero_Ym","2004-11-01","Overweight",1,"0.0%",NA,NA
"Time_zero_Ym","2004-12-01","Overweight",3,"0.0%",NA,NA
"Time_zero_Ym","2005-01-01","Overweight",13,"0.0%",NA,NA
"Time_zero_Ym","2005-02-01","Overweight",4,"0.0%",NA,NA
"Time_zero_Ym","2005-03-01","Overweight",2,"0.0%",NA,NA
"Time_zero_Ym","2005-04-01","Overweight",3,"0.0%",NA,NA
"Time_zero_Ym","2005-05-01","Overweight",1,"0.0%",NA,NA
"Time_zero_Ym","2005-06-01","Overweight",1,"0.0%",NA,NA
"Time_zero_Ym","2005-07-01","Overweight",3,"0.0%",NA,NA
"Time_zero_Ym","2005-08-01","Overweight",1,"0.0%",NA,NA
"Time_zero_Ym","2005-09-01","Overweight",4,"0.0%",NA,NA
"Time_zero_Ym","2005-10-01","Overweight",2,"0.0%",NA,NA
"Time_zero_Ym","2005-11-01","Overweight",4,"0.0%",NA,NA
"Time_zero_Ym","2005-12-01","Overweight",4,"0.0%",NA,NA
"Time_zero_Ym","2006-01-01","Overweight",11,"0.0%",NA,NA
"Time_zero_Ym","2006-02-01","Overweight",135,"0.3%",NA,NA
"Time_zero_Ym","2006-03-01","Overweight",217,"0.4%",NA,NA
"Time_zero_Ym","2006-04-01","Overweight",197,"0.4%",NA,NA
"Time_zero_Ym","2006-05-01","Overweight",231,"0.4%",NA,NA
"Time_zero_Ym","2006-06-01","Overweight",212,"0.4%",NA,NA
"Time_zero_Ym","2006-06-16","Overweight",53,"0.1%",NA,NA
"Time_zero_Ym","2006-07-01","Overweight",232,"0.4%",NA,NA
"Time_zero_Ym","2006-08-01","Overweight",214,"0.4%",NA,NA
"Time_zero_Ym","2006-09-01","Overweight",190,"0.4%",NA,NA
"Time_zero_Ym","2006-10-01","Overweight",241,"0.5%",NA,NA
"Time_zero_Ym","2006-11-01","Overweight",221,"0.4%",NA,NA
"Time_zero_Ym","2006-11-16","Overweight",129,"0.2%",NA,NA
"Time_zero_Ym","2006-12-01","Overweight",256,"0.5%",NA,NA
"Time_zero_Ym","2007-01-01","Overweight",239,"0.5%",NA,NA
"Time_zero_Ym","2007-02-01","Overweight",254,"0.5%",NA,NA
"Time_zero_Ym","2007-03-01","Overweight",286,"0.5%",NA,NA
"Time_zero_Ym","2007-04-01","Overweight",289,"0.6%",NA,NA
"Time_zero_Ym","2007-05-01","Overweight",273,"0.5%",NA,NA
"Time_zero_Ym","2007-06-01","Overweight",263,"0.5%",NA,NA
"Time_zero_Ym","2007-07-01","Overweight",270,"0.5%",NA,NA
"Time_zero_Ym","2007-08-01","Overweight",250,"0.5%",NA,NA
"Time_zero_Ym","2007-09-01","Overweight",236,"0.5%",NA,NA
"Time_zero_Ym","2007-10-01","Overweight",255,"0.5%",NA,NA
"Time_zero_Ym","2007-11-01","Overweight",281,"0.5%",NA,NA
"Time_zero_Ym","2007-12-01","Overweight",277,"0.5%",NA,NA
"Time_zero_Ym","2008-01-01","Overweight",296,"0.6%",NA,NA
"Time_zero_Ym","2008-02-01","Overweight",262,"0.5%",NA,NA
"Time_zero_Ym","2008-03-01","Overweight",278,"0.5%",NA,NA
"Time_zero_Ym","2008-04-01","Overweight",281,"0.5%",NA,NA
"Time_zero_Ym","2008-05-01","Overweight",303,"0.6%",NA,NA
"Time_zero_Ym","2008-06-01","Overweight",327,"0.6%",NA,NA
"Time_zero_Ym","2008-07-01","Overweight",248,"0.5%",NA,NA
"Time_zero_Ym","2008-08-01","Overweight",237,"0.5%",NA,NA
"Time_zero_Ym","2008-09-01","Overweight",236,"0.5%",NA,NA
"Time_zero_Ym","2008-10-01","Overweight",301,"0.6%",NA,NA
"Time_zero_Ym","2008-11-01","Overweight",266,"0.5%",NA,NA
"Time_zero_Ym","2008-12-01","Overweight",286,"0.5%",NA,NA
"Time_zero_Ym","2009-01-01","Overweight",270,"0.5%",NA,NA
"Time_zero_Ym","2009-02-01","Overweight",251,"0.5%",NA,NA
"Time_zero_Ym","2009-03-01","Overweight",298,"0.6%",NA,NA
"Time_zero_Ym","2009-04-01","Overweight",271,"0.5%",NA,NA
"Time_zero_Ym","2009-05-01","Overweight",269,"0.5%",NA,NA
"Time_zero_Ym","2009-06-01","Overweight",377,"0.7%",NA,NA
"Time_zero_Ym","2009-07-01","Overweight",241,"0.5%",NA,NA
"Time_zero_Ym","2009-08-01","Overweight",252,"0.5%",NA,NA
"Time_zero_Ym","2009-09-01","Overweight",260,"0.5%",NA,NA
"Time_zero_Ym","2009-10-01","Overweight",282,"0.5%",NA,NA
"Time_zero_Ym","2009-11-01","Overweight",252,"0.5%",NA,NA
"Time_zero_Ym","2009-12-01","Overweight",321,"0.6%",NA,NA
"Time_zero_Ym","2010-01-01","Overweight",306,"0.6%",NA,NA
"Time_zero_Ym","2010-02-01","Overweight",286,"0.5%",NA,NA
"Time_zero_Ym","2010-03-01","Overweight",318,"0.6%",NA,NA
"Time_zero_Ym","2010-04-01","Overweight",356,"0.7%",NA,NA
"Time_zero_Ym","2010-04-17","Overweight",386,"0.7%",NA,NA
"Time_zero_Ym","2010-05-01","Overweight",317,"0.6%",NA,NA
"Time_zero_Ym","2010-06-01","Overweight",396,"0.8%",NA,NA
"Time_zero_Ym","2010-07-01","Overweight",426,"0.8%",NA,NA
"Time_zero_Ym","2010-08-01","Overweight",302,"0.6%",NA,NA
"Time_zero_Ym","2010-09-01","Overweight",284,"0.5%",NA,NA
"Time_zero_Ym","2010-10-01","Overweight",330,"0.6%",NA,NA
"Time_zero_Ym","2010-11-01","Overweight",355,"0.7%",NA,NA
"Time_zero_Ym","2010-12-01","Overweight",340,"0.7%",NA,NA
"Time_zero_Ym","2011-01-01","Overweight",343,"0.7%",NA,NA
"Time_zero_Ym","2011-02-01","Overweight",313,"0.6%",NA,NA
"Time_zero_Ym","2011-03-01","Overweight",364,"0.7%",NA,NA
"Time_zero_Ym","2011-04-01","Overweight",356,"0.7%",NA,NA
"Time_zero_Ym","2011-05-01","Overweight",357,"0.7%",NA,NA
"Time_zero_Ym","2011-06-01","Overweight",1023,"2.0%",NA,NA
"Time_zero_Ym","2011-07-01","Overweight",479,"0.9%",NA,NA
"Time_zero_Ym","2011-08-01","Overweight",323,"0.6%",NA,NA
"Time_zero_Ym","2011-09-01","Overweight",314,"0.6%",NA,NA
"Time_zero_Ym","2011-10-01","Overweight",363,"0.7%",NA,NA
"Time_zero_Ym","2011-11-01","Overweight",359,"0.7%",NA,NA
"Time_zero_Ym","2011-12-01","Overweight",385,"0.7%",NA,NA
"Time_zero_Ym","2012-01-01","Overweight",423,"0.8%",NA,NA
"Time_zero_Ym","2012-02-01","Overweight",426,"0.8%",NA,NA
"Time_zero_Ym","2012-03-01","Overweight",366,"0.7%",NA,NA
"Time_zero_Ym","2012-04-01","Overweight",376,"0.7%",NA,NA
"Time_zero_Ym","2012-05-01","Overweight",411,"0.8%",NA,NA
"Time_zero_Ym","2012-06-01","Overweight",1166,"2.2%",NA,NA
"Time_zero_Ym","2012-07-01","Overweight",381,"0.7%",NA,NA
"Time_zero_Ym","2012-08-01","Overweight",352,"0.7%",NA,NA
"Time_zero_Ym","2012-09-01","Overweight",398,"0.8%",NA,NA
"Time_zero_Ym","2012-10-01","Overweight",395,"0.8%",NA,NA
"Time_zero_Ym","2012-11-01","Overweight",412,"0.8%",NA,NA
"Time_zero_Ym","2012-12-01","Overweight",383,"0.7%",NA,NA
"Time_zero_Ym","2013-01-01","Overweight",412,"0.8%",NA,NA
"Time_zero_Ym","2013-02-01","Overweight",341,"0.7%",NA,NA
"Time_zero_Ym","2013-03-01","Overweight",410,"0.8%",NA,NA
"Time_zero_Ym","2013-04-01","Overweight",378,"0.7%",NA,NA
"Time_zero_Ym","2013-05-01","Overweight",377,"0.7%",NA,NA
"Time_zero_Ym","2013-06-01","Overweight",674,"1.3%",NA,NA
"Time_zero_Ym","2013-07-01","Overweight",362,"0.7%",NA,NA
"Time_zero_Ym","2013-08-01","Overweight",368,"0.7%",NA,NA
"Time_zero_Ym","2013-09-01","Overweight",312,"0.6%",NA,NA
"Time_zero_Ym","2013-10-01","Overweight",389,"0.7%",NA,NA
"Time_zero_Ym","2013-11-01","Overweight",407,"0.8%",NA,NA
"Time_zero_Ym","2013-12-01","Overweight",382,"0.7%",NA,NA
"Time_zero_Ym","2014-01-01","Overweight",394,"0.8%",NA,NA
"Time_zero_Ym","2014-02-01","Overweight",345,"0.7%",NA,NA
"Time_zero_Ym","2014-03-01","Overweight",422,"0.8%",NA,NA
"Time_zero_Ym","2014-04-01","Overweight",359,"0.7%",NA,NA
"Time_zero_Ym","2014-05-01","Overweight",379,"0.7%",NA,NA
"Time_zero_Ym","2014-06-01","Overweight",356,"0.7%",NA,NA
"Time_zero_Ym","2014-07-01","Overweight",349,"0.7%",NA,NA
"Time_zero_Ym","2014-08-01","Overweight",355,"0.7%",NA,NA
"Time_zero_Ym","2014-09-01","Overweight",299,"0.6%",NA,NA
"Time_zero_Ym","2014-10-01","Overweight",380,"0.7%",NA,NA
"Time_zero_Ym","2014-11-01","Overweight",368,"0.7%",NA,NA
"Time_zero_Ym","2014-12-01","Overweight",383,"0.7%",NA,NA
"Time_zero_Ym","2015-01-01","Overweight",361,"0.7%",NA,NA
"Time_zero_Ym","2015-02-01","Overweight",346,"0.7%",NA,NA
"Time_zero_Ym","2015-03-01","Overweight",390,"0.7%",NA,NA
"Time_zero_Ym","2015-04-01","Overweight",347,"0.7%",NA,NA
"Time_zero_Ym","2015-05-01","Overweight",429,"0.8%",NA,NA
"Time_zero_Ym","2015-06-01","Overweight",350,"0.7%",NA,NA
"Time_zero_Ym","2015-07-01","Overweight",477,"0.9%",NA,NA
"Time_zero_Ym","2015-08-01","Overweight",335,"0.6%",NA,NA
"Time_zero_Ym","2015-09-01","Overweight",362,"0.7%",NA,NA
"Time_zero_Ym","2015-10-01","Overweight",357,"0.7%",NA,NA
"Time_zero_Ym","2015-11-01","Overweight",365,"0.7%",NA,NA
"Time_zero_Ym","2015-12-01","Overweight",360,"0.7%",NA,NA
"Time_zero_Ym","2016-01-01","Overweight",425,"0.8%",NA,NA
"Time_zero_Ym","2016-02-01","Overweight",390,"0.7%",NA,NA
"Time_zero_Ym","2016-03-01","Overweight",372,"0.7%",NA,NA
"Time_zero_Ym","2016-04-01","Overweight",391,"0.7%",NA,NA
"Time_zero_Ym","2016-05-01","Overweight",396,"0.8%",NA,NA
"Time_zero_Ym","2016-06-01","Overweight",376,"0.7%",NA,NA
"Time_zero_Ym","2016-07-01","Overweight",366,"0.7%",NA,NA
"Time_zero_Ym","2016-08-01","Overweight",350,"0.7%",NA,NA
"Time_zero_Ym","2016-09-01","Overweight",350,"0.7%",NA,NA
"Time_zero_Ym","2016-10-01","Overweight",351,"0.7%",NA,NA
"Time_zero_Ym","2016-11-01","Overweight",399,"0.8%",NA,NA
"Time_zero_Ym","2016-12-01","Overweight",382,"0.7%",NA,NA
"Time_zero_Ym","2017-01-01","Overweight",368,"0.7%",NA,NA
"Time_zero_Ym","2017-02-01","Overweight",361,"0.7%",NA,NA
"Time_zero_Ym","2017-03-01","Overweight",395,"0.8%",NA,NA
"Time_zero_Ym","2017-04-01","Overweight",381,"0.7%",NA,NA
"Time_zero_Ym","2017-05-01","Overweight",445,"0.9%",NA,NA
"Time_zero_Ym","2017-06-01","Overweight",363,"0.7%",NA,NA
"Time_zero_Ym","2017-07-01","Overweight",414,"0.8%",NA,NA
"Time_zero_Ym","2017-08-01","Overweight",390,"0.7%",NA,NA
"Time_zero_Ym","2017-09-01","Overweight",341,"0.7%",NA,NA
"Time_zero_Ym","2017-10-01","Overweight",377,"0.7%",NA,NA
"Time_zero_Ym","2017-11-01","Overweight",403,"0.8%",NA,NA
"Time_zero_Ym","2017-12-01","Overweight",396,"0.8%",NA,NA
"Time_zero_Ym","2018-01-01","Overweight",14,"0.0%",NA,NA
"Time_zero_Ym","2018-02-01","Overweight",5,"0.0%",NA,NA
"Time_zero_Ym","2018-03-01","Overweight",1,"0.0%",NA,NA
"Time_zero_Ym","2018-04-01","Overweight",2,"0.0%",NA,NA
"Time_zero_Ym","2018-06-01","Overweight",1,"0.0%",NA,NA
"Time_zero_Ym","2018-10-01","Overweight",1,"0.0%",NA,NA
"Time_zero_Ym","2018-11-01","Overweight",2,"0.0%",NA,NA
"Time_zero_Ym","2018-12-01","Overweight",1,"0.0%",NA,NA
"Time_zero_Ym","2019-01-01","Overweight",11,"0.0%",NA,NA
"Time_zero_Ym","2019-02-01","Overweight",1,"0.0%",NA,NA
"Time_zero_Ym","2019-04-01","Overweight",1,"0.0%",NA,NA
"Time_zero_Ym","2019-05-01","Overweight",1,"0.0%",NA,NA
"Time_zero_Ym","2019-08-01","Overweight",1,"0.0%",NA,NA
"Time_zero_Ym","2019-10-01","Overweight",2,"0.0%",NA,NA
"Time_zero_Ym","2020-01-01","Overweight",1,"0.0%",NA,NA
"ACE_inhibitor","No","Obese I",7677,"36.7%",8.67e-09,1.44e-08
"ACE_inhibitor","Yes","Obese I",12708,"60.7%",8.67e-09,1.44e-08
"ACE_inhibitor",NA,"Obese I",545,"2.6%",8.67e-09,1.44e-08
"ACE_inhibitor_ARB","No","Obese I",3433,"16.4%",2.86e-164,1.08e-163
"ACE_inhibitor_ARB","Yes","Obese I",17378,"83.0%",2.86e-164,1.08e-163
"ACE_inhibitor_ARB",NA,"Obese I",119,"0.6%",2.86e-164,1.08e-163
"AF_atrial_flutter","No","Obese I",17269,"82.5%",3.24e-20,7.15e-20
"AF_atrial_flutter","Yes","Obese I",2551,"12.2%",3.24e-20,7.15e-20
"AF_atrial_flutter",NA,"Obese I",1110,"5.3%",3.24e-20,7.15e-20
"ARB","No","Obese I",15454,"73.8%",3.38e-192,1.49e-191
"ARB","Yes","Obese I",4421,"21.1%",3.38e-192,1.49e-191
"ARB",NA,"Obese I",1055,"5.0%",3.38e-192,1.49e-191
"AV_block","No","Obese I",1559,"7.4%",0.13,0.146
"AV_block","Yes","Obese I",191,"0.9%",0.13,0.146
"AV_block",NA,"Obese I",19180,"91.6%",0.13,0.146
"AV_block_II_or_III","No","Obese I",1770,"8.5%",0.839,0.839
"AV_block_II_or_III","Yes","Obese I",6,"0.0%",0.839,0.839
"AV_block_II_or_III",NA,"Obese I",19154,"91.5%",0.839,0.839
"Alcohol","No","Obese I",506,"2.4%",0.00104,0.00138
"Alcohol","Yes","Obese I",1040,"5.0%",0.00104,0.00138
"Alcohol",NA,"Obese I",19384,"92.6%",0.00104,0.00138
"Aldosterone_antagonist","No","Obese I",11405,"54.5%",3.46e-15,6.79e-15
"Aldosterone_antagonist","Yes","Obese I",1042,"5.0%",3.46e-15,6.79e-15
"Aldosterone_antagonist",NA,"Obese I",8483,"40.5%",3.46e-15,6.79e-15
"Anti_anginal","No","Obese I",16241,"77.6%",1.61e-09,2.75e-09
"Anti_anginal","Yes","Obese I",2251,"10.8%",1.61e-09,2.75e-09
"Anti_anginal",NA,"Obese I",2438,"11.6%",1.61e-09,2.75e-09
"Anti_arrhythmic_III","No","Obese I",2874,"13.7%",0.05,0.0616
"Anti_arrhythmic_III","Yes","Obese I",105,"0.5%",0.05,0.0616
"Anti_arrhythmic_III",NA,"Obese I",17951,"85.8%",0.05,0.0616
"Anti_coagulant","No","Obese I",16623,"79.4%",1.13e-06,1.66e-06
"Anti_coagulant","Yes","Obese I",1956,"9.3%",1.13e-06,1.66e-06
"Anti_coagulant",NA,"Obese I",2351,"11.2%",1.13e-06,1.66e-06
"Anti_diabetic","No","Obese I",15155,"72.4%",0,0
"Anti_diabetic","Yes","Obese I",4689,"22.4%",0,0
"Anti_diabetic",NA,"Obese I",1086,"5.2%",0,0
"Anti_diabetic_insulin","No","Obese I",17218,"82.3%",0,0
"Anti_diabetic_insulin","Yes","Obese I",2666,"12.7%",0,0
"Anti_diabetic_insulin",NA,"Obese I",1046,"5.0%",0,0
"Anti_diabetic_oral","No","Obese I",16620,"79.4%",0,0
"Anti_diabetic_oral","Yes","Obese I",3255,"15.6%",0,0
"Anti_diabetic_oral",NA,"Obese I",1055,"5.0%",0,0
"Anti_platelet","No","Obese I",857,"4.1%",2.75e-28,6.63e-28
"Anti_platelet","Yes","Obese I",18617,"88.9%",2.75e-28,6.63e-28
"Anti_platelet",NA,"Obese I",1456,"7.0%",2.75e-28,6.63e-28
"Baseline_type","MI","Obese I",18309,"87.5%",0,0
"Baseline_type","MI40d","Obese I",1759,"8.4%",0,0
"Baseline_type",NA,"Obese I",862,"4.1%",0,0
"Beta_blockers","No","Obese I",2043,"9.8%",2.61e-34,6.92e-34
"Beta_blockers","Yes","Obese I",18818,"89.9%",2.61e-34,6.92e-34
"Beta_blockers",NA,"Obese I",69,"0.3%",2.61e-34,6.92e-34
"CABG","No","Obese I",17938,"85.7%",3.76e-34,9.5e-34
"CABG","Yes","Obese I",1984,"9.5%",3.76e-34,9.5e-34
"CABG",NA,"Obese I",1008,"4.8%",3.76e-34,9.5e-34
"CABG_acute","No","Obese I",12391,"59.2%",0.676,0.703
"CABG_acute","Yes","Obese I",77,"0.4%",0.676,0.703
"CABG_acute",NA,"Obese I",8462,"40.4%",0.676,0.703
"COPD","No","Obese I",2541,"12.1%",1.54e-14,2.92e-14
"COPD","Yes","Obese I",240,"1.1%",1.54e-14,2.92e-14
"COPD",NA,"Obese I",18149,"86.7%",1.54e-14,2.92e-14
"CVD_risk_region","1","Obese I",231,"1.1%",1.05e-292,6.96e-292
"CVD_risk_region","2","Obese I",18031,"86.1%",1.05e-292,6.96e-292
"CVD_risk_region","3","Obese I",2435,"11.6%",1.05e-292,6.96e-292
"CVD_risk_region","4","Obese I",233,"1.1%",1.05e-292,6.96e-292
"Calcium_antagonists","No","Obese I",14909,"71.2%",9.66e-149,3.41e-148
"Calcium_antagonists","Yes","Obese I",3595,"17.2%",9.66e-149,3.41e-148
"Calcium_antagonists",NA,"Obese I",2426,"11.6%",9.66e-149,3.41e-148
"Cancer","No","Obese I",151,"0.7%",0.612,0.662
"Cancer",NA,"Obese I",20779,"99.3%",0.612,0.662
"Diabetes","No","Obese I",14202,"67.9%",0,0
"Diabetes","Yes","Obese I",6662,"31.8%",0,0
"Diabetes",NA,"Obese I",66,"0.3%",0,0
"Digitalis_glycosides","No","Obese I",18669,"89.2%",9.89e-19,2.02e-18
"Digitalis_glycosides","Yes","Obese I",352,"1.7%",9.89e-19,2.02e-18
"Digitalis_glycosides",NA,"Obese I",1909,"9.1%",9.89e-19,2.02e-18
"Diseased_arteries_num_cat","0","Obese I",96,"0.5%",0.000863,0.00117
"Diseased_arteries_num_cat","1","Obese I",233,"1.1%",0.000863,0.00117
"Diseased_arteries_num_cat","2","Obese I",221,"1.1%",0.000863,0.00117
"Diseased_arteries_num_cat","geq3","Obese I",224,"1.1%",0.000863,0.00117
"Diseased_arteries_num_cat",NA,"Obese I",20156,"96.3%",0.000863,0.00117
"Diuretics","No","Obese I",14189,"67.8%",1.46e-247,8.59999999999999e-247
"Diuretics","Yes","Obese I",6646,"31.8%",1.46e-247,8.59999999999999e-247
"Diuretics",NA,"Obese I",95,"0.5%",1.46e-247,8.59999999999999e-247
"FH_CAD","No","Obese I",692,"3.3%",1.05e-09,1.86e-09
"FH_CAD","Yes","Obese I",798,"3.8%",1.05e-09,1.86e-09
"FH_CAD",NA,"Obese I",19440,"92.9%",1.05e-09,1.86e-09
"FH_SCD","No","Obese I",1067,"5.1%",0.0195,0.0252
"FH_SCD","Yes","Obese I",363,"1.7%",0.0195,0.0252
"FH_SCD",NA,"Obese I",19500,"93.2%",0.0195,0.0252
"HF","No","Obese I",16341,"78.1%",1.47e-26,3.4e-26
"HF","Yes","Obese I",1232,"5.9%",1.47e-26,3.4e-26
"HF",NA,"Obese I",3357,"16.0%",1.47e-26,3.4e-26
"HasMRI","No","Obese I",20631,"98.6%",9.24e-06,1.32e-05
"HasMRI","Yes","Obese I",299,"1.4%",9.24e-06,1.32e-05
"Hypertension","No","Obese I",8181,"39.1%",0,0
"Hypertension","Yes","Obese I",12182,"58.2%",0,0
"Hypertension",NA,"Obese I",567,"2.7%",0,0
"IsSWHR","0","Obese I",2305,"11.0%",4.11e-207,1.98e-206
"IsSWHR","1","Obese I",17763,"84.9%",4.11e-207,1.98e-206
"IsSWHR",NA,"Obese I",862,"4.1%",4.11e-207,1.98e-206
"LBBB","No","Obese I",18774,"89.7%",1.52e-05,2.11e-05
"LBBB","Yes","Obese I",917,"4.4%",1.52e-05,2.11e-05
"LBBB",NA,"Obese I",1239,"5.9%",1.52e-05,2.11e-05
"Lipid_lowering","No","Obese I",1447,"6.9%",3.26e-240,1.73e-239
"Lipid_lowering","Yes","Obese I",19388,"92.6%",3.26e-240,1.73e-239
"Lipid_lowering",NA,"Obese I",95,"0.5%",3.26e-240,1.73e-239
"MI_history","No","Obese I",14691,"70.2%",3.41e-07,5.32e-07
"MI_history","Yes","Obese I",3590,"17.2%",3.41e-07,5.32e-07
"MI_history",NA,"Obese I",2649,"12.7%",3.41e-07,5.32e-07
"MI_location_anterior","No","Obese I",1306,"6.2%",5.42e-07,8.2e-07
"MI_location_anterior","Yes","Obese I",754,"3.6%",5.42e-07,8.2e-07
"MI_location_anterior",NA,"Obese I",18870,"90.2%",5.42e-07,8.2e-07
"MI_location_inferior","No","Obese I",1212,"5.8%",0.0649,0.0764
"MI_location_inferior","Yes","Obese I",848,"4.1%",0.0649,0.0764
"MI_location_inferior",NA,"Obese I",18870,"90.2%",0.0649,0.0764
"MI_location_lateral","No","Obese I",1720,"8.2%",0.639,0.678
"MI_location_lateral","Yes","Obese I",259,"1.2%",0.639,0.678
"MI_location_lateral",NA,"Obese I",18951,"90.5%",0.639,0.678
"MI_location_posterior","No","Obese I",1439,"6.9%",0.0247,0.0311
"MI_location_posterior","Yes","Obese I",67,"0.3%",0.0247,0.0311
"MI_location_posterior",NA,"Obese I",19424,"92.8%",0.0247,0.0311
"MI_type","NSTEMI","Obese I",12545,"59.9%",1.71e-19,3.63e-19
"MI_type","STEMI","Obese I",5344,"25.5%",1.71e-19,3.63e-19
"MI_type",NA,"Obese I",3041,"14.5%",1.71e-19,3.63e-19
"MR","Moderate","Obese I",43,"0.2%",0.0886,0.102
"MR","None or mild","Obese I",384,"1.8%",0.0886,0.102
"MR","Severe","Obese I",9,"0.0%",0.0886,0.102
"MR",NA,"Obese I",20494,"97.9%",0.0886,0.102
"NSVT","No","Obese I",171,"0.8%",0.0609,0.0733
"NSVT","Yes","Obese I",24,"0.1%",0.0609,0.0733
"NSVT",NA,"Obese I",20735,"99.1%",0.0609,0.0733
"NYHA","I","Obese I",1445,"6.9%",2.21e-07,3.55e-07
"NYHA","II","Obese I",797,"3.8%",2.21e-07,3.55e-07
"NYHA","III","Obese I",306,"1.5%",2.21e-07,3.55e-07
"NYHA","IV","Obese I",31,"0.1%",2.21e-07,3.55e-07
"NYHA",NA,"Obese I",18351,"87.7%",2.21e-07,3.55e-07
"PCI","No","Obese I",15696,"75.0%",1.74e-175,7.08e-175
"PCI","Yes","Obese I",3890,"18.6%",1.74e-175,7.08e-175
"PCI",NA,"Obese I",1344,"6.4%",1.74e-175,7.08e-175
"PCI_acute","No","Obese I",12377,"59.1%",8.41e-41,2.34e-40
"PCI_acute","Yes","Obese I",5990,"28.6%",8.41e-41,2.34e-40
"PCI_acute",NA,"Obese I",2563,"12.2%",8.41e-41,2.34e-40
"RBBB","No","Obese I",18452,"88.2%",0.808,0.823
"RBBB","Yes","Obese I",823,"3.9%",0.808,0.823
"RBBB",NA,"Obese I",1655,"7.9%",0.808,0.823
"Revascularisation_acute","No","Obese I",12086,"57.7%",4.27e-43,1.26e-42
"Revascularisation_acute","Yes","Obese I",6281,"30.0%",4.27e-43,1.26e-42
"Revascularisation_acute",NA,"Obese I",2563,"12.2%",4.27e-43,1.26e-42
"Sex","Female","Obese I",6335,"30.3%",0,0
"Sex","Male","Obese I",14595,"69.7%",0,0
"Smoking","No","Obese I",7289,"34.8%",4.99e-66,1.65e-65
"Smoking","Yes","Obese I",12638,"60.4%",4.99e-66,1.65e-65
"Smoking",NA,"Obese I",1003,"4.8%",4.99e-66,1.65e-65
"Stroke_TIA","No","Obese I",18239,"87.1%",2.99e-12,5.46e-12
"Stroke_TIA","Yes","Obese I",1309,"6.3%",2.99e-12,5.46e-12
"Stroke_TIA",NA,"Obese I",1382,"6.6%",2.99e-12,5.46e-12
"Thrombolysis_acute","No","Obese I",18014,"86.1%",0.546,0.603
"Thrombolysis_acute","Yes","Obese I",227,"1.1%",0.546,0.603
"Thrombolysis_acute",NA,"Obese I",2689,"12.8%",0.546,0.603
"Time_zero_Y","1994","Obese I",1,"0.0%",3.2e-44,9.97e-44
"Time_zero_Y","1995","Obese I",20,"0.1%",3.2e-44,9.97e-44
"Time_zero_Y","1996","Obese I",32,"0.2%",3.2e-44,9.97e-44
"Time_zero_Y","1997","Obese I",62,"0.3%",3.2e-44,9.97e-44
"Time_zero_Y","1998","Obese I",121,"0.6%",3.2e-44,9.97e-44
"Time_zero_Y","1999","Obese I",110,"0.5%",3.2e-44,9.97e-44
"Time_zero_Y","2000","Obese I",149,"0.7%",3.2e-44,9.97e-44
"Time_zero_Y","2001","Obese I",81,"0.4%",3.2e-44,9.97e-44
"Time_zero_Y","2002","Obese I",48,"0.2%",3.2e-44,9.97e-44
"Time_zero_Y","2003","Obese I",56,"0.3%",3.2e-44,9.97e-44
"Time_zero_Y","2004","Obese I",17,"0.1%",3.2e-44,9.97e-44
"Time_zero_Y","2005","Obese I",18,"0.1%",3.2e-44,9.97e-44
"Time_zero_Y","2006","Obese I",969,"4.6%",3.2e-44,9.97e-44
"Time_zero_Y","2007","Obese I",1099,"5.3%",3.2e-44,9.97e-44
"Time_zero_Y","2008","Obese I",1195,"5.7%",3.2e-44,9.97e-44
"Time_zero_Y","2009","Obese I",1257,"6.0%",3.2e-44,9.97e-44
"Time_zero_Y","2010","Obese I",1771,"8.5%",3.2e-44,9.97e-44
"Time_zero_Y","2011","Obese I",2211,"10.6%",3.2e-44,9.97e-44
"Time_zero_Y","2012","Obese I",2212,"10.6%",3.2e-44,9.97e-44
"Time_zero_Y","2013","Obese I",1978,"9.5%",3.2e-44,9.97e-44
"Time_zero_Y","2014","Obese I",1839,"8.8%",3.2e-44,9.97e-44
"Time_zero_Y","2015","Obese I",1848,"8.8%",3.2e-44,9.97e-44
"Time_zero_Y","2016","Obese I",1886,"9.0%",3.2e-44,9.97e-44
"Time_zero_Y","2017","Obese I",1931,"9.2%",3.2e-44,9.97e-44
"Time_zero_Y","2018","Obese I",11,"0.1%",3.2e-44,9.97e-44
"Time_zero_Y","2019","Obese I",8,"0.0%",3.2e-44,9.97e-44
